project_id,project_name,issued,retired,remaining,difference
ACR212,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,1387888.0,1531480.0,-143592.0,-143592.0
ACR272,Bear Creek Watershed Forest Carbon Project,375650.0,411399.0,-35749.0,-35749.0
ACR420,Finite Carbon - Sealaska 2 Native Alaskan IFM,2153385.0,2333929.0,-180544.0,-180544.0
ACR425,Bluesource - Goldbelt Improved Forest Management Project,394194.0,425491.0,-31297.0,-31297.0
CAR660,Gualala River Forest,487865.0,537344.0,-49479.0,-49479.0
CAR1013,Buckeye Forest Project,913550.0,942018.0,-28468.0,-28468.0
CAR1035,Scenic View Dairy Methane Reduction Project,161083.0,179950.0,-18867.0,-18867.0
CAR1123,"Central Sands Dairy, LLC",74829.0,78839.0,-4010.0,-4010.0
GS440,*Mamak Landfill Waste Management Project  Turkey,3192403.0,3192998.0,-595.0,-595.0
GS2913,BaumInvest Reforestation Project,48801.0,161551.0,-112750.0,-112750.0
GS2951,ArBolivia- Phase II,133691.0,215438.0,-81747.0,-81747.0
GS3007,Sodo Ethiopia,116275.0,153176.0,-36901.0,-36901.0
GS3039,Australian Yarra Yarra Biodiversity Project,175837.0,193202.0,-17365.0,-17365.0
VCS67,Ratchaburi Farms Biogas Project at SPM Farm,32969.0,33353.0,-384.0,-384.0
VCS144,"Capacity Upgrade of Gunung Salak Geothermal Power Plant Project, Indonesia",1499246.0,1594793.0,-95547.0,-95547.0
